number,name_full,canonization,birth,start,end,age_start,age_end,tenure
14,Victor I,Saint,0120-06-30T00:00:00Z,0189-05-26T00:00:00Z,0199-07-28T00:00:00Z,68.90490564487978,79.07623017584207,10.172602739726
63,Pelagius II,,0520-06-30T00:00:00Z,0579-11-26T00:00:00Z,0590-02-07T00:00:00Z,59.40710623763664,69.60854774567582,10.2
91,Zachary,Saint,0679-06-30T00:00:00Z,0741-12-03T00:00:00Z,0752-03-22T00:00:00Z,62.42701766634496,72.72702382663573,10.3005464480874
236,Innocent X,,1574-05-06T00:00:00Z,1644-09-15T00:00:00Z,1655-01-07T00:00:00Z,70.36421007960465,80.67516786792336,10.3123287671233
248,Clement XIII,,1693-03-07T00:00:00Z,1758-07-06T00:00:00Z,1769-02-02T00:00:00Z,65.32919909375278,75.90847176875637,10.5780821917808
198,Clement VI,,1291-06-30T00:00:00Z,1342-05-07T00:00:00Z,1352-12-06T00:00:00Z,50.851146840797554,61.435895329815125,10.5835616438356
137,John XV,,0950-06-30T00:00:00Z,0985-08-20T00:00:00Z,0996-04-01T00:00:00Z,35.1410364346975,45.75590190079194,10.6147540983607
177,Honorius III,,1148-06-30T00:00:00Z,1216-07-18T00:00:00Z,1227-03-18T00:00:00Z,68.05067865869935,78.71482645091959,10.6657534246575
90,Gregory III,Saint,0669-06-30T00:00:00Z,0731-03-18T00:00:00Z,0741-11-28T00:00:00Z,61.71242393752096,72.41216452083205,10.6986301369863
8,Telesphorus,Saint,0067-06-30T00:00:00Z,0125-04-03T00:00:00Z,0136-01-05T00:00:00Z,57.75888621942956,68.5161228498874,10.7568306010929
11,Anicetus,Saint,0092-06-30T00:00:00Z,0155-07-11T00:00:00Z,0166-04-20T00:00:00Z,63.026619300875446,73.80302128038221,10.7753424657534
219,Clement VII,,1478-05-26T00:00:00Z,1523-11-26T00:00:00Z,1534-09-25T00:00:00Z,45.501276549142005,56.33243666878855,10.8301369863014
266,Francis,,1936-12-17T00:00:00Z,2013-03-13T00:00:00Z,2025-04-21T00:00:00Z,76.23702060959499,88.34404539449818,11.0
214,Alexander VI,,1431-01-01T00:00:00Z,1492-08-11T00:00:00Z,1503-08-18T00:00:00Z,61.61112137826239,72.62572126737716,11.0191256830601
257,Pius X,Saint,1835-06-02T00:00:00Z,1903-08-04T00:00:00Z,1914-08-20T00:00:00Z,68.17114656700684,79.21586343319849,11.0438356164384
159,Urban II,Blessed,1042-06-30T00:00:00Z,1088-03-12T00:00:00Z,1099-07-29T00:00:00Z,45.701143760652165,57.079885281696406,11.3808219178082
180,Innocent IV,,1195-06-30T00:00:00Z,1243-06-25T00:00:00Z,1254-12-07T00:00:00Z,47.98729611148757,59.4399611217205,11.4520547945205
202,Urban VI,,1318-06-30T00:00:00Z,1378-04-08T00:00:00Z,1389-10-15T00:00:00Z,59.7739857765731,71.29509846198074,11.5205479452055
156,Alexander II,,1018-06-30T00:00:00Z,1061-09-30T00:00:00Z,1073-04-21T00:00:00Z,43.25345489640444,54.810160372902935,11.5561643835616
4,Clement I,Saint,0035-06-30T00:00:00Z,0088-04-26T00:00:00Z,0099-11-23T00:00:00Z,52.82517779283626,64.40104861838367,11.5780821917808
143,Benedict VIII,,0980-06-30T00:00:00Z,1012-05-18T00:00:00Z,1024-04-09T00:00:00Z,31.880189189374185,43.77365722773226,11.8934426229508
157,Gregory VII,Saint,1015-06-30T00:00:00Z,1073-04-22T00:00:00Z,1085-05-25T00:00:00Z,57.81364435956933,69.90424170243058,12.0904109589041
237,Alexander VII,,1599-02-13T00:00:00Z,1655-04-07T00:00:00Z,1667-05-22T00:00:00Z,56.14625899231333,68.26971121925844,12.1229508196721
145,Benedict IX,,1012-06-30T00:00:00Z,1032-10-21T00:00:00Z,1044-12-31T00:00:00Z,20.30979417784075,32.50443198696756,12.1945205479452
28,Caius,Saint,0245-06-30T00:00:00Z,0283-12-17T00:00:00Z,0296-04-22T00:00:00Z,38.46485554118154,50.81281614269971,12.3469945355191
240,Innocent XI,Blessed,1611-05-16T00:00:00Z,1676-09-21T00:00:00Z,1689-08-12T00:00:00Z,65.35384025681567,78.24390644571757,12.8904109589041
